b0       b1     b2      b3     b4     b5     b6    b7      b8      b9     b10     b11      b12
0.3197 0.5235 0.0000 0.0000 0.0000 0.0000 0.0000  0.0000 0.0000  0.0000 0.0003   0.0000   0.0000
0.9794 0.9855 0.0018 0.0033 0.0020 0.0024 0.0021  0.0017 0.0018  0.0016 0.0000   0.1017   0.0003
0.9875 0.9912 0.1781 0.0448 0.0000 0.0023 0.0013  0.0008 0.0008  0.0000 0.0000   0.0000   0.0001
0.4545 0.5799 0.1345 0.0000 0.0000 0.0000 0.0000  0.0000 0.0000  0.0000 0.0000   0.0000   0.0000
0.2854 0.4978 0.0000 0.0000 0.0001 0.0000 0.0000  0.0000 0.0000  0.0000 0.0003   0.0000   0.0000
0.7650 0.9362 0.0000 0.0000 0.0000 0.0000 0.0000  0.0000 0.0000  0.0000 0.0003   0.0000   0.0000
1.0067 1.0012 0.0712 0.0002 0.0002 0.0002 0.0002  0.0002 0.0002  0.0002 0.0000   0.0002   0.0002
0.9869 0.9908 0.0981 0.0212 0.0029 0.0024 0.0017  0.0021 0.0020  0.0018 0.0000   0.0015   0.0014
0.9855 0.9898 0.0022 0.0016 0.0009 0.0010 0.0008  0.0014 0.0010  0.0004 0.0000   0.0000   0.0018
0.9879 0.9916 0.0472 0.0594 0.0000 0.0000 0.0001  0.0001 0.0000  0.0000 0.0000   0.0000   0.0000
0.9869 0.9908 0.0979 0.0214 0.0047 0.0028 0.0000  0.0012 0.0006  0.0000 0.0057   0.0000   0.0000
0.9866 0.9906 0.0785 0.0000 0.0000 0.0000 0.0001  0.0001 0.0001  0.0001 0.0011   0.0001   0.0002
0.9855 0.9898 0.0000 0.0000 0.0000 0.0000 0.0001  0.0001 0.0001  0.0002 0.0018   0.0002   0.0002
0.3386 0.5342 0.0000 0.0000 0.0000 0.0000 0.0000  0.0000 0.0000  0.0000 0.0003   0.0000   0.0000

